Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Lab02_TestCaseLogin,Chrome 85.0.4183.121,,,2020-09-30 17:43:46,2020-09-30 17:45:18,1m - 32.275s,PASSED
,,,,,,,
Test Cases/Check_login_with_wrong_Username_and_Password,Chrome 85.0.4183.121,Kiểm tra đăng nhập với tên tài khoản và mật khẩu đều sai,,2020-09-30 17:43:46,2020-09-30 17:44:21,34.694s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-09-30 17:43:47,2020-09-30 17:43:55,7.320s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-09-30 17:43:55,2020-09-30 17:44:14,19.867s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 85.0.4183.121,,,2020-09-30 17:44:14,2020-09-30 17:44:15,0.653s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/a_Login""))",Chrome 85.0.4183.121,,,2020-09-30 17:44:15,2020-09-30 17:44:16,1.255s,PASSED
"setText(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 85.0.4183.121,,,2020-09-30 17:44:16,2020-09-30 17:44:17,0.997s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/input_Password_password""), ""wl0LvoOtaVwzypN4kraLMF7jpm206SQJ"")",Chrome 85.0.4183.121,,,2020-09-30 17:44:17,2020-09-30 17:44:18,0.864s,PASSED
"click(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-09-30 17:44:18,2020-09-30 17:44:19,1.254s,PASSED
"waitForElementPresent(findTestObject(""Wrong_Username_And_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-09-30 17:44:19,2020-09-30 17:44:20,0.405s,PASSED
"verifyElementText(findTestObject(""Object Repository/Wrong_Username_And_Password/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-09-30 17:44:20,2020-09-30 17:44:20,0.419s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-09-30 17:44:20,2020-09-30 17:44:21,0.844s,PASSED
,,,,,,,
